[00000] 0200002A 4EFA | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00002000 | 0000 00000
[00001] 0200008C 7103 | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 | 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00002000 | 0000 00000
[00002] 0200008E 4EF9 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 01FFFFE4 00010000 | 2700 00000
[00003] 020000BA 48E7 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 01FFFFE4 00010000 | 2700 00000
[00004] 020000BE 4DFA | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 01FFFFE4 0000FFEC | 2700 00000
[00005] 020000C2 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00006] 020000C4 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00007] 020000C6 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00008] 020000C8 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00009] 020000CA 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00010] 020000CC 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00011] 020000CE 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00012] 020000D0 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00013] 020000D2 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00014] 020000D4 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00015] 020000D6 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00016] 020000D8 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00017] 020000DA 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00018] 020000DC 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00019] 020000DE 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00020] 020000E0 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00021] 020000E2 4E71 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00022] 020000E4 48E7 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFEC | 2700 00000
[00023] 020000E8 4DFA | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000C6 0000FFD0 | 2700 00000
[00024] 020000EC 4BF9 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 00000000 020000F6 0000FFD0 | 2700 00000
[00025] 020000F2 4EFB | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00026] 0200B27C 45F9 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00000000 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00027] 0200B282 4EFB | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00028] 02015274 2268 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 0200374C 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00029] 02015278 0201 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00030] 0201527C 0C01 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00031] 02015280 6600 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
[00032] 020152FA 45F9 | 0000773F 00000000 CC000505 00000000 00000000 00000000 00000000 00000000 | 0200337C 7B300000 00009FF8 00000000 00000000 0000B190 020000F6 0000FFD0 | 2700 00000
